SET	PDB_ID	CLUSTER_ID
TRAIN	7rex_A	1034
TRAIN	7rex_B	1034
TRAIN	5dea_C	256
TRAIN	5de5_A	256
TRAIN	5de5_C	256
TRAIN	5de8_C	256
TRAIN	5de8_A	256
TRAIN	5dea_A	256
TRAIN	6wde_4	658
TRAIN	6wdm_4	658
TRAIN	6wdk_4	658
TRAIN	4c7o_E	1740
TRAIN	6o0z_C	1894
TRAIN	1r3e_C	2185
TRAIN	7okx_T	735
TRAIN	7ol0_T	735
TRAIN	7oky_T	735
TRAIN	6xu7_A9	2524
TRAIN	6c6s_B	741
TRAIN	6c6t_B	741
TRAIN	6lu0_B	488
TRAIN	6ltr_B	488
TRAIN	6ltu_B	488
TRAIN	5jup_EC	225
TRAIN	5jus_EC	225
TRAIN	5juo_EC	225
TRAIN	5jut_EC	225
TRAIN	7oop_P	1977
TRAIN	3jcj_v	106
TRAIN	4v75_A3	106
TRAIN	5me1_X	106
TRAIN	5me0_X	106
TRAIN	6o9k_y	106
TRAIN	3jcn_v	106
TRAIN	1h1k_N	2193
TRAIN	4v7a_A2	1569
TRAIN	2jtp_A	1382
TRAIN	4qjh_E	2214
TRAIN	7mq9_N0	807
TRAIN	2m24_A	1871
TRAIN	6gml_N	1682
TRAIN	6rh3_N	731
TRAIN	5krg_A	280
TRAIN	5l00_A	280
TRAIN	5krg_C	280
TRAIN	6u6j_A	280
TRAIN	5v0h_A	280
TRAIN	5l00_C	280
TRAIN	6wlq_A	501
TRAIN	6uet_A	501
TRAIN	6ues_A	501
TRAIN	6wlr_A	501
TRAIN	6v3a_v	662
TRAIN	6v39_v	662
TRAIN	6ybw_7	2388
TRAIN	7ob9_T	1930
TRAIN	6c6u_B	2502
TRAIN	6id1_G	2203
TRAIN	420d_A	297
TRAIN	420d_B	297
TRAIN	6gtd_B	1441
TRAIN	1xwu_A	873
TRAIN	7vbc_T	904
TRAIN	2lpt_A	1799
TRAIN	6xu6_A9	706
TRAIN	6xu8_A9	706
TRAIN	4a3k_T	519
TRAIN	4a3d_T	519
TRAIN	4v1m_T	519
TRAIN	6exn_2	1558
TRAIN	5mq0_2	1558
TRAIN	6bk8_2	1558
TRAIN	1o9m_A	552
TRAIN	2f4u_A	552
TRAIN	2lbk_A	1514
TRAIN	7k51_4	1460
TRAIN	5mps_I	2468
TRAIN	5mq0_I	2468
TRAIN	6n4o_C	2247
TRAIN	3loa_B	1157
TRAIN	7eia_A	2700
TRAIN	5lqw_2	1522
TRAIN	7onu_T	2217
TRAIN	2jrg_A	178
TRAIN	2jrq_A	178
TRAIN	2jsg_A	178
TRAIN	2jr4_A	178
TRAIN	6ysr_x	1731
TRAIN	6w6l_u	2259
TRAIN	7waz_B	2319
TRAIN	7b0y_P	376
TRAIN	6wlt_A	1316
TRAIN	6wlu_A	1316
TRAIN	7f36_G	156
TRAIN	5j8b_w	156
TRAIN	3jce_6	156
TRAIN	7f36_F	156
TRAIN	7aqd_T	156
TRAIN	7aqc_T	156
TRAIN	6y4b_F	156
TRAIN	3hjf_Y	1003
TRAIN	4v9l_AV	1287
TRAIN	4v9m_AV	1287
TRAIN	1y99_A	826
TRAIN	7mlb_H	2709
TRAIN	4ol8_C	2070
TRAIN	2krw_A	1688
TRAIN	6rti_X	1551
TRAIN	5uq8_z	867
TRAIN	7lyg_A	867
TRAIN	4v73_A1	652
TRAIN	3j46_p	652
TRAIN	7pjv_w	652
TRAIN	7pjx_w	652
TRAIN	7n30_Pt	652
TRAIN	7pjt_w	652
TRAIN	7pjw_w	652
TRAIN	7pju_w	652
TRAIN	7n2v_Pt	652
TRAIN	5e7k_4K	2589
TRAIN	3iab_R	2635
TRAIN	1h1k_K	6
TRAIN	1h1k_J	6
TRAIN	1h1k_M	6
TRAIN	2wwa_G	1270
TRAIN	2ww9_G	1270
TRAIN	2b2g_R	1557
TRAIN	1zbh_E	877
TRAIN	1zbh_F	877
TRAIN	4ypb_XX	1111
TRAIN	4w4g_XX	1111
TRAIN	4yzv_XX	1111
TRAIN	6wd3_4	150
TRAIN	6wd5_4	150
TRAIN	4ts0_Y	679
TRAIN	4ts2_Y	679
TRAIN	4v6l_AD	1490
TRAIN	7vg3_C	1846
TRAIN	6j6q_B	2300
TRAIN	7ki3_B	1774
TRAIN	3bnn_A	2275
TRAIN	6x43_Q	1295
TRAIN	6rin_T	1053
TRAIN	1qbp_A	716
TRAIN	1qbp_C	716
TRAIN	6mfr_E	1142
TRAIN	6mdz_E	1142
TRAIN	2et3_A	2682
TRAIN	2kez_A	1560
TRAIN	4zsn_QX	1336
TRAIN	2nvx_T	72
TRAIN	3gtj_T	72
TRAIN	3gtm_N	72
TRAIN	1mnx_A	1059
TRAIN	2d18_B	2493
TRAIN	6o1l_O	133
TRAIN	6o1l_P	133
TRAIN	6o1k_P	133
TRAIN	6o1m_P	133
TRAIN	6o1k_O	133
TRAIN	6o1m_O	133
TRAIN	2czj_B	9
TRAIN	2czj_F	9
TRAIN	2czj_H	9
TRAIN	2czj_D	9
TRAIN	6iv9_B	1317
TRAIN	6iv8_D	1317
TRAIN	6iv8_B	1317
TRAIN	5u34_B	267
TRAIN	5wqe_B	267
TRAIN	5u30_B	267
TRAIN	5u33_B	267
